id|signal|advertisements|withdraws|total_messages|counter
-2134235636474677467|A3A4A2A4A3A23A2A28A3A2A4|11|0|11|1
-8896774622973119116|A4A5A6A22A7W7A5A4|7|1|8|1
7781564789147564698|A3A4A2A4A5A6A18A22A7W7A3A4A2A4|13|1|14|1
1336126911403249759|A4A5A3A2A4|5|0|5|2
5366706991983895144|A3A4A2A4A5A21A4|7|0|7|2
-279373040350349752|A1A3A2A4A5A6A7W7A3A4A2A4|11|1|12|9
5732747536036676715|A3A2A4A5A6A7W7A3A2A4|9|1|10|15
-2903626232681482842|A3A2A4A5A6A18A22A7A3A4A2A4|12|0|12|1
-8252603491028037091|A3A2A4A5A6A7W7A3A4A2A4|10|1|11|7
-6833339669211965388|A3A2A4A5A6A18A7W7A3A4A2A4|11|1|12|4
-6739194717339092605|A3A2A4A5A6A22A7W7A3A2A4|10|1|11|4
4704592609487395279|A3A2A4A5A3A2A4|7|0|7|3
-6996993780357404651|A3A2A4A5A6A18A4|7|0|7|1
6769061118764049009|A3A4A1A2A1A5A28A21A32A6A29A22A7W7A3A4A2A4|17|1|18|1
-1625127492076766429|A3A4A23A1A2A5A28A6A29A7W7A3A4A2A4|14|1|15|1
-314118792492785107|A3A2A4A5A6A7W7A1A3A4A2A4|11|1|12|1
-259185261543486825|A3A4A23A2A23A1A28A27A3A4A2A4|12|0|12|1
-2832181625359398360|A3A4A5A21A6W6A1A3A2A4|9|1|10|6
8138635753790043437|A3A4A2A4A5W5A3A4A2A4|9|1|10|2
6898385371519140853|A3A4A2A4A5A6A22A3A4A2A4|11|0|11|1
3899449990291672436|A3A4A2A4A5W5A3A2A4|8|1|9|2
2853648732614634040|A3A4A2A4A5A26A6A18A7W7A3A2A4|12|1|13|3
5559458217592795242|A3A2A4A5A21A6A7W7A3A4A2A4|11|1|12|1
2833131572388360661|A3A4A2A4A5A18W18A3A2A4|9|1|10|2
3541854526058211729|A3A2A4A3A5A23A1A2A1A3A2A4|12|0|12|1
